"BnaA01g00520D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaAnng23390D"	"Nitrite/Sulfite reductase ferredoxin-like domain, Nitrite/sulphite reductase 4Fe-4S domain, Sulphite reductase, ferredoxin dependent"
"BnaAnng23410D"	"Nucleic acid-binding, OB-fold, Replication factor A, C-terminal"
"BnaAnng23580D"	"Tubulin, Beta tubulin, Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, C-terminal, Beta tubulin, autoregulation binding site, Tubulin, conserved site, Tubulin/FtsZ, 2-layer sandwich domain, Tubulin, C-terminal"
"BnaAnng24130D"	"Major intrinsic protein, Major intrinsic protein, conserved site, Aquaporin-like"
"BnaAnng24310D"	NA
"BnaAnng24430D"	"Short-chain dehydrogenase/reductase SDR, Glucose/ribitol dehydrogenase, NAD(P)-binding domain"
"BnaAnng24530D"	"FG-GAP repeat"
"BnaAnng24590D"	"Protein of unknown function DUF626, Arabidopsis thaliana"
"BnaAnng24830D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, NAF domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, NAF/FISL domain, Calcium/calmodulin-dependent/calcium-dependent protein kinase"
"BnaAnng25240D"	NA
"BnaAnng25420D"	NA
"BnaAnng25850D"	"Isocitrate dehydrogenase NADP-dependent, Isopropylmalate dehydrogenase-like domain"
"BnaAnng25870D"	"NAD-dependent epimerase/dehydratase, NAD(P)-binding domain"
"BnaAnng25950D"	"Pyruvate phosphate dikinase, PEP/pyruvate-binding, ATP-grasp fold, subdomain 1"
"BnaAnng25960D"	NA
"BnaAnng26180D"	"Allergen V5/Tpx-1-related, Ves allergen, CAP domain, Allergen V5/Tpx-1-related, conserved site"
"BnaAnng26310D"	"Pentatricopeptide repeat, Tetratricopeptide-like helical"
"BnaAnng26550D"	"Basic-leucine zipper domain"
"BnaAnng27100D"	"Photosystem II PsbR"
"BnaAnng27160D"	"UbiE/COQ5 methyltransferase, UbiE/COQ5 methyltransferase, conserved site"
"BnaAnng27250D"	"Calponin homology domain, EB1, C-terminal, Microtubule-associated protein RP/EB"
"BnaAnng27440D"	"Enolpyruvate transferase domain, 3-phosphoshikimate 1-carboxyvinyltransferase, RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta, 3-phosphoshikimate 1-carboxyvinyltransferase, conserved site"
"BnaAnng27540D"	"Pyridoxal phosphate-dependent decarboxylase, Glutamate decarboxylase, Pyridoxal phosphate-dependent transferase, major region, subdomain 1, Pyridoxal phosphate-dependent transferase"
"BnaAnng27760D"	"Toll/interleukin-1 receptor homology (TIR) domain, Disease resistance protein, NB-ARC"
"BnaAnng28080D"	"NIF system FeS cluster assembly, NifU, N-terminal"
"BnaAnng28130D"	"Dcp1-like decapping, Pleckstrin homology-like domain"
"BnaAnng28310D"	"Citrate synthase-like, Succinyl-CoA ligase, alpha subunit, ATP-citrate lyase/succinyl-CoA ligase, NAD(P)-binding domain, Succinyl-CoA synthetase-like, Citrate synthase-like, core, Citrate synthase-like, large alpha subdomain, Citrate synthase-like, small alpha subdomain, ATP-citrate lyase/succinyl-CoA ligase, active site, Succinyl-CoA synthetase, beta subunit, conserved site"
"BnaAnng28340D"	"Protein-tyrosine phosphatase-like, PTPLA"
"BnaAnng28890D"	NA
"BnaAnng29030D"	"Dehydrin"
"BnaAnng29110D"	"Polyketide cyclase/dehydrase, START-like domain"
"BnaAnng29190D"	"Domain of unknown function DUF239, Domain of unknown function DUF4409"
"BnaAnng29400D"	"Zinc finger, RING-type, Zinc finger, RING-CH-type, Zinc finger, RING/FYVE/PHD-type"
"BnaAnng29440D"	NA
"BnaAnng29650D"	NA
"BnaAnng29940D"	"Galactose oxidase, beta-propeller"
"BnaAnng30740D"	"SAC3/GANP/Nin1/mts3/eIF-3 p25, 26S proteasome non-ATPase regulatory subunit Rpn12"
"BnaAnng30850D"	"Aminotransferase, class-II, pyridoxal-phosphate binding site, Aminotransferase, class I/classII, Pyridoxal phosphate-dependent transferase, major region, subdomain 1, Pyridoxal phosphate-dependent transferase, major region, subdomain 2, Pyridoxal phosphate-dependent transferase"
"BnaAnng31020D"	NA
"BnaAnng31030D"	NA
"BnaAnng31090D"	"Helicase, C-terminal, DNA/RNA helicase, DEAD/DEAH box type, N-terminal, Helicase, superfamily 1/2, ATP-binding domain, RNA helicase, DEAD-box type, Q motif"
"BnaAnng31260D"	NA
"BnaAnng31580D"	NA
"BnaAnng32160D"	"YTH domain"
"BnaAnng32170D"	"AMP-dependent synthetase/ligase"
"BnaAnng32230D"	NA
"BnaAnng32360D"	"Ribosomal protein 60S"
"BnaAnng32380D"	"Translation machinery associated TMA7"
"BnaAnng32430D"	NA
"BnaAnng32540D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, ACT domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Tyrosine-protein kinase, catalytic domain"
"BnaAnng32590D"	"RNA recognition motif domain, Nucleotide-binding, alpha-beta plait"
"BnaAnng33020D"	"Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding"
"BnaAnng33150D"	NA
"BnaAnng33250D"	NA
"BnaAnng33600D"	"Zinc finger, FYVE/PHD-type, Zinc finger, RING/FYVE/PHD-type"
"BnaAnng33760D"	"Peptidase S8/S53 domain, Proteinase inhibitor, propeptide, Proteinase inhibitor I9, Peptidase S8, subtilisin-related, Peptidase S8, subtilisin,  Asp-active site"
"BnaAnng33900D"	NA
"BnaAnng34060D"	"Lipase, GDSL, Lipase, GDSL, active site, SGNH hydrolase-type esterase domain"
"BnaAnng34180D"	"RNA recognition motif domain, Nucleotide-binding, alpha-beta plait, RNA-binding motif"
"BnaAnng34210D"	NA
"BnaAnng34510D"	"Cytochrome P450"
"BnaAnng34630D"	"Berberine/berberine-like"
"BnaAnng34650D"	"Ndr, Pollen specific protein SF21"
"BnaAnng34660D"	NA
"BnaAnng34930D"	"Anticodon-binding, Brix domain"
"BnaAnng34970D"	"Cell division protein FtsZ, Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, C-terminal, Tubulin/FtsZ, 2-layer sandwich domain, Cell division protein FtsZ, C-terminal"
"BnaAnng35350D"	NA
"BnaAnng35880D"	"Chaperonin Cpn60/TCP-1, T-complex protein 1, beta subunit"
"BnaAnng35930D"	"Lysosomal cystine transporter, Cystinosin/ERS1p repeat"
"BnaAnng36030D"	NA
"BnaAnng36100D"	"Cytochrome b5-like heme/steroid binding domain"
"BnaAnng36470D"	"Camphor resistance CrcB protein"
"BnaAnng36490D"	"Bifunctional kinase-pyrophosphorylase, Putative pyruvate, phosphate dikinase regulatory protein"
"BnaAnng36550D"	"Auxin responsive SAUR protein"
"BnaAnng36570D"	"SANT/Myb domain, Homeodomain-like, Myb-like domain, Myb domain"
"BnaAnng36670D"	NA
"BnaAnng36880D"	"Domain of unknown function DUF223, Nucleic acid-binding, OB-fold"
"BnaAnng37180D"	NA
"BnaAnng37340D"	NA
"BnaAnng37980D"	NA
"BnaAnng38080D"	"Pollen Ole e 1 allergen/extensin, Immunoglobulin-like fold"
"BnaAnng38610D"	"AAA+ ATPase domain, ATPase, AAA-type, core, AAA-type ATPase, N-terminal domain"
"BnaAnng39720D"	NA
"BnaAnng39780D"	"Calcium-binding EF-hand, EF-hand-like domain, EF-Hand 1, calcium-binding site"
"BnaAnng39790D"	NA
"BnaAnng40030D"	"Dimeric alpha-beta barrel, Stress responsive alpha-beta barrel"
"BnaAnng40490D"	"Major facilitator superfamily domain, general substrate transporter"
"BnaAnng40590D"	NA
"BnaAnng40820D"	NA
"BnaAnng40850D"	"Fructose-bisphosphate aldolase, class-I, Aldolase-type TIM barrel"
"BnaAnng41100D"	"Acetyl-CoA carboxylase, central domain"
"BnaAnng41110D"	"Late embryogenesis abundant protein, LEA-14"
"BnaAnng41330D"	"Alcohol dehydrogenase superfamily, zinc-type, Alcohol dehydrogenase, zinc-type, conserved site, GroES-like, Alcohol dehydrogenase GroES-like"
"BnaAnng41480D"	"Oxoglutarate/iron-dependent dioxygenase, Non-haem dioxygenase N-terminal domain"
"BnaAnng41520D"	"Peptidase A1, Aspartic peptidase"
"BnaAnng41580D"	"Tryptophan synthase beta subunit-like PLP-dependent enzymes superfamily, Tryptophan synthase, beta chain, conserved site, Tryptophan synthase, beta chain"
"BnaC01g00120D"	"Multi antimicrobial extrusion protein"
"BnaC01g00300D"	"NAD(P)-binding domain"
"BnaC01g00710D"	"Tetratricopeptide-like helical, Tetratricopeptide repeat-containing domain"
"BnaC01g00720D"	NA
"BnaC01g00760D"	"Kelch repeat type 1, Galactose oxidase, beta-propeller"
"BnaC01g00820D"	"Heat shock protein DnaJ, cysteine-rich domain, DnaJ domain, Chaperone DnaJ, C-terminal, HSP40/DnaJ peptide-binding, Chaperone DnaJ, DnaJ domain, conserved site"
"BnaC01g01050D"	"Alcohol dehydrogenase superfamily, zinc-type, Alcohol dehydrogenase, zinc-type, conserved site, GroES-like, Alcohol dehydrogenase, C-terminal, Alcohol dehydrogenase GroES-like, NAD(P)-binding domain, Polyketide synthase, enoylreductase"
"BnaC01g01300D"	NA
"BnaC01g01460D"	NA
"BnaC01g01500D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaC01g01550D"	NA
"BnaC01g01600D"	NA
"BnaC01g01640D"	"MRG, MRG domain"
"BnaC01g01660D"	"SANT/Myb domain, Homeodomain-like, Myb domain"
"BnaC01g01670D"	"Protein kinase, catalytic domain, Leucine-rich repeat, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Leucine-rich repeat, typical subtype, Protein kinase-like domain, Leucine-rich repeat-containing N-terminal, type 2, Tyrosine-protein kinase, catalytic domain, Leucine rich repeat 4"
"BnaC01g01680D"	"Cysteine peptidase, cysteine active site, Peptidase C1A, papain C-terminal, Peptidase C1A, papain, Proteinase inhibitor I29, cathepsin propeptide, Cysteine peptidase, histidine active site, Cysteine peptidase, asparagine active site"
"BnaC01g01700D"	"AP2/ERF domain, DNA-binding, integrase-type"
"BnaC01g01780D"	"Suppressor of white apricot N-terminal domain"
"BnaC01g01790D"	"Heat shock factor (HSF)-type, DNA-binding, Winged helix-turn-helix transcription repressor DNA-binding domain"
"BnaC01g01890D"	"Aldose 1-/Glucose-6-phosphate 1-epimerase, Galactose mutarotase-like domain, Glycoside hydrolase-type carbohydrate-binding, subgroup"
"BnaC01g02020D"	"Zinc finger, LIM-type, Ubiquitin interacting motif, Protein of unknown function DUF3633"
"BnaC01g02120D"	"Helix-turn-helix motif, Homeodomain, Homeodomain-like, Homeobox, conserved site"
"BnaC01g02330D"	"Cytochrome P450"
"BnaC01g02600D"	"DnaJ domain"
"BnaC01g02610D"	"Thaumatin"
"BnaC01g02940D"	"Domain of unknown function DUF292, eukaryotic"
"BnaC01g03080D"	NA
"BnaC01g03130D"	"Cystathionine beta-synthase, core, Chloride channel, voltage gated, Chloride channel, core"
"BnaC01g03180D"	"SEC7-like, Armadillo-like helical, Domain of unknown function DUF1981, SEC7 associated, Armadillo-type fold, SEC7-like, alpha orthogonal bundle"
"BnaC01g03250D"	"Sugar/inositol transporter, General substrate transporter, Sugar transporter, conserved site, Major facilitator superfamily domain, general substrate transporter, Major facilitator superfamily domain"
"BnaC01g03400D"	"Phospholipase-like, arabidopsis"
"BnaC01g03690D"	"Ribosome-binding factor A, Class II glutamine amidotransferase domain, Phosphoribosyltransferase domain, Amidophosphoribosyl transferase, K homology domain-like, alpha/beta, Glutamine amidotransferase type 2 domain, Ribosome-binding factor A, conserved site, Ribosome-binding factor A domain"
"BnaC01g03730D"	"Complex 1 LYR protein"
"BnaC01g03800D"	"Ribosomal protein S16, Ribosomal protein S16 domain"
"BnaC01g04030D"	"WD40 repeat, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain, G-protein beta WD-40 repeat"
"BnaC01g04120D"	"Six-hairpin glycosidase-like, Alpha-L-fucosidase"
"BnaC01g05410D"	"Chaperonin Cpn60/TCP-1, Phosphatidylinositol-4-phosphate 5-kinase, core, Phosphatidylinositol-4-phosphate 5-kinase, core, subgroup"
"BnaC01g05690D"	"Plant self-incompatibility response"
"BnaC01g05750D"	NA
"BnaC01g05770D"	"Zinc finger, RING-CH-type, Zinc finger, RING/FYVE/PHD-type"
"BnaC01g05960D"	"WD40 repeat, Quinonprotein alcohol dehydrogenase-like-superfamily, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain, WD40 repeat, conserved site"
"BnaC01g06040D"	"Protein of unknown function DUF642, Galactose-binding domain-like"
"BnaC01g06140D"	"Glycoside hydrolase, family 28, Parallel beta-helix repeat, Pectin lyase fold/virulence factor, Pectin lyase fold"
"BnaC01g06290D"	"Domain of unknown function DUF89, Type II pantothenate kinase"
"BnaC01g06520D"	NA
"BnaC01g06720D"	"Small GTP-binding protein domain, Small GTPase superfamily, SAR1-type, Small GTPase superfamily, ARF/SAR type, Small GTPase superfamily, ARF type"
"BnaC01g06800D"	"Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2, Zinc finger, MYND-type, Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2, conserved site"
"BnaC01g06870D"	NA
"BnaC01g07900D"	"Protein of unknown function DUF788, TMEM208"
"BnaC01g07920D"	NA
"BnaC01g08460D"	"Peptidase C1A, papain C-terminal, Protein of unknown function DUF626, Arabidopsis thaliana, Double Clp-N motif, P-type ATPase, cytoplasmic domain N"
"BnaC01g08730D"	"Pectinacetylesterase"
"BnaC01g09380D"	"Tetratricopeptide-like helical"
"BnaC01g09710D"	"Tetraspanin, Tetraspanin/Peripherin"
"BnaC01g09730D"	"Photosystem I PsaE, reaction centre subunit IV, Electron transport accessory protein-like domain"
"BnaC01g10000D"	"Nucleic acid-binding, OB-fold"
"BnaC01g10010D"	"Reticulon"
"BnaC01g10220D"	"RAI1-like"
"BnaC01g10240D"	"Streptomyces cyclase/dehydrase, START-like domain"
"BnaC01g10250D"	"Protein of unknown function DUF581"
"BnaC01g10300D"	"Plant peroxidase, Haem peroxidase, plant/fungal/bacterial, Haem peroxidase, Peroxidases heam-ligand binding site, Peroxidase, active site"
"BnaC01g10330D"	NA
"BnaC01g10400D"	NA
"BnaC01g10420D"	"Myc-type, basic helix-loop-helix (bHLH) domain, Transcription factor MYC/MYB N-terminal"
"BnaC01g10450D"	"Protein of unknown function DUF597"
"BnaC01g10720D"	NA
"BnaC01g10790D"	"Peptidase S1C, Trypsin-like cysteine/serine peptidase domain"
"BnaC01g10870D"	"Magnesium chelatase, ChlI subunit, AAA+ ATPase domain, Magnesium chelatase, ATPase subunit I"
"BnaC01g10910D"	NA
"BnaC01g12030D"	"Zinc finger, RING-type, Zinc finger, C6HC-type, Zinc finger, RING/FYVE/PHD-type, Zinc finger, RING-type, conserved site, Zinc finger, C3HC4 RING-type"
"BnaC01g12520D"	"SANT/Myb domain, Homeodomain-like, Myb-like domain"
"BnaC01g12810D"	"F-box domain, cyclin-like"
"BnaC01g12930D"	"Peptidase S8/S53 domain, Proteinase inhibitor I9, Peptidase S8, subtilisin-related, Peptidase S8, subtilisin, Ser-active site"
"BnaC01g12960D"	"Proton-dependent oligopeptide transporter family"
"BnaC01g13210D"	"Peptide methionine sulphoxide reductase MrsB, Mss4-like"
"BnaC01g13560D"	NA
"BnaC01g14220D"	NA
"BnaC01g14470D"	"Peptidase C50, separase"
"BnaC01g14970D"	NA
"BnaC01g15210D"	"Toll/interleukin-1 receptor homology (TIR) domain"
"BnaC01g15510D"	"Plant disease resistance response protein"
"BnaC01g15850D"	"Phox/Bem1p, Plant regulator RWP-RK"
"BnaC01g15880D"	"Zinc finger, Dof-type"
"BnaC01g15940D"	"Oligopeptide transporter OPT superfamily"
"BnaC01g16100D"	NA
"BnaC01g16320D"	"Leucine-rich repeat, cysteine-containing subtype"
"BnaC01g16380D"	"Ubiquitin system component Cue"
"BnaC01g16690D"	"Argininosuccinate synthase, Rossmann-like alpha/beta/alpha sandwich fold, Argininosuccinate synthase, conserved site, Argininosuccinate synthase, type 1 subfamily, Argininosuccinate synthetase, catalytic/multimerisation domain body"
"BnaC01g16910D"	"Annexin, Annexin, plant, Annexin repeat, conserved site, Annexin repeat"
"BnaC01g17030D"	"Zinc finger, LSD1-type, Peptidase C14, caspase catalytic"
"BnaC01g17150D"	NA
"BnaC01g17340D"	NA
"BnaC01g17870D"	"Nucleic acid-binding, OB-fold"
"BnaC01g18110D"	"Zinc finger, GRF-type"
"BnaC01g18220D"	NA
"BnaC01g18700D"	"LSM-interacting domain"
"BnaC01g18730D"	NA
"BnaC01g18770D"	"Bacterial Fmu (Sun)/eukaryotic nucleolar NOL1/Nop2p, Nop2p, Bacterial Fmu (Sun)/eukaryotic nucleolar NOL1/Nop2p, conserved site, RNA (C5-cytosine) methyltransferase, RNA (C5-cytosine) methyltransferase, NOP2"
"BnaC01g19200D"	"Peptidase M24, structural domain, Peptidase M24A, methionine aminopeptidase, subfamily 2"
"BnaC01g19920D"	"ABC transporter-like"
"BnaC01g20320D"	"Alpha crystallin/Hsp20 domain, HSP20-like chaperone"
"BnaC01g20480D"	"Domain of unknown function DUF125, transmembrane"
"BnaC01g20730D"	NA
"BnaC01g20740D"	NA
"BnaC01g21060D"	"Cytochrome b561, eukaryote, DOMON domain, Cytochrome b561/ferric reductase transmembrane, Uncharacterised conserved protein UCP037471"
"BnaC01g22800D"	NA
"BnaC01g23180D"	NA
"BnaC01g23250D"	"Stress induced protein, Small hydrophilic plant seed protein, conserved site"
"BnaC01g23420D"	"Six-bladed beta-propeller, TolB-like, Strictosidine synthase, conserved region"
"BnaC01g23560D"	NA
"BnaC01g23700D"	"Thioredoxin-like fold, Thioredoxin domain"
"BnaC01g24370D"	NA
"BnaC01g25590D"	"Lipase, class 3"
"BnaC01g26100D"	NA
"BnaC01g28130D"	NA
"BnaC01g28920D"	"Protein kinase, catalytic domain, AGC-kinase, C-terminal, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Protein kinase, C-terminal, Tyrosine-protein kinase, catalytic domain"
"BnaC01g29730D"	"Zinc finger, BED-type predicted"
"BnaC01g29770D"	"Domain of unknown function DUF223, Nucleic acid-binding, OB-fold"
"BnaC01g30550D"	"Dienelactone hydrolase"
"BnaC01g31760D"	"Plant specific Rop nucleotide exchanger, PRONE, Lateral Root Primordium type 1, C-terminal, Protein of unknown function DUF702"
"BnaC01g32060D"	"Protein of unknown function DUF679"
"BnaC01g32540D"	NA
"BnaC01g33120D"	"Domain of unknown function DUF4283, Zinc knuckle CX2CX4HX4C"
"BnaC01g34290D"	NA
"BnaC01g34580D"	"Aldose 1-/Glucose-6-phosphate 1-epimerase, Galactose mutarotase-like domain, Glycoside hydrolase-type carbohydrate-binding, subgroup, Aldose 1-epimerase"
"BnaC01g34610D"	NA
"BnaC01g35360D"	"Mannose-binding lectin, Kelch repeat type 1, Kelch-type beta propeller"
"BnaC01g35540D"	NA
"BnaC01g35840D"	"Peptidase S26B, eukaryotic signal peptidase, Peptidase S24/S26A/S26B/S26C, beta-ribbon domain, Peptidase S24/S26A/S26B/S26C, Peptidase S26A, signal peptidase I, conserved site, Peptidase S24/S26A/S26B"
"BnaC01g35850D"	"Disease resistance protein, NB-ARC"
"BnaC01g35860D"	"Protein of unknown function DUF761, plant"
"BnaC01g35910D"	"Glutaredoxin, Monothiol glutaredoxin-related, Thioredoxin-like fold"
"BnaC01g35930D"	"Cytochrome c oxidase, subunit Vb"
"BnaC01g35940D"	"Cytochrome c oxidase, subunit Vb"
"BnaC01g35950D"	"DNA photolyase, FAD-binding/Cryptochrome, C-terminal, DNA photolyase, N-terminal, Rossmann-like alpha/beta/alpha sandwich fold"
"BnaC01g35970D"	"Histone H2A, Histone core, Histone-fold"
"BnaC01g35980D"	NA
"BnaC01g36030D"	"AUX/IAA protein, Aux/IAA-ARF-dimerisation"
"BnaC01g36040D"	"No apical meristem (NAM) protein"
"BnaC01g36080D"	"Regulator of chromosome condensation, RCC1, Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II"
"BnaC01g36090D"	"Domain of unknown function DUF1771"
"BnaC01g36100D"	"Ubiquitin-conjugating enzyme, E2, Ubiquitin-conjugating enzyme/RWD-like"
"BnaC01g36110D"	"Cytochrome c oxidase copper chaperone, Cysteine alpha-hairpin motif superfamily"
"BnaC01g36120D"	NA
